"filename", "language", "TypeScript", "JSON", "TypeScript JSX", "Markdown", "JSON with Comments", "SCSS", "CSS", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\PracticumDetailsPage\PracticumDetailsPage.tsx", "TypeScript JSX", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 10, 39
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\PracticumPage\PracticumPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 19, 124
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\PracticumPage\PracticumPage.tsx", "TypeScript JSX", 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 6, 98
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\ProfilePage\ProfilePage.module.scss", "SCSS", 0, 0, 0, 0, 0, 271, 0, 0, 0, 0, 49, 320
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\ProfilePage\ProfilePage.tsx", "TypeScript JSX", 0, 0, 232, 0, 0, 0, 0, 0, 0, 13, 27, 272
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\QuestDetailsPage\QuestDetailsPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 237, 0, 0, 0, 0, 47, 284
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\QuestDetailsPage\QuestDetailsPage.tsx", "TypeScript JSX", 0, 0, 47, 0, 0, 0, 0, 0, 0, 1, 13, 61
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\QuestsDetailsPage\QuestsDetailsPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 165, 0, 0, 0, 0, 35, 200
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\QuestsDetailsPage\QuestsDetailsPage.tsx", "TypeScript JSX", 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 19, 163
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\QuestsPage\QuestsPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 18, 98
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\QuestsPage\QuestsPage.tsx", "TypeScript JSX", 0, 0, 131, 0, 0, 0, 0, 0, 0, 0, 16, 147
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\RegistrationPage\RegistrationPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 20, 122
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\RegistrationPage\RegistrationPage.tsx", "TypeScript JSX", 0, 0, 532, 0, 0, 0, 0, 0, 0, 0, 35, 567
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\TasksPage\TasksPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 178, 0, 0, 0, 0, 34, 212
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\TasksPage\TasksPage.tsx", "TypeScript JSX", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 13, 77
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\TermsPage\TermsPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 50, 307
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\TermsPage\TermsPage.tsx", "TypeScript JSX", 0, 0, 191, 0, 0, 0, 0, 0, 0, 2, 32, 225
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\UserRatingPage\UserRatingPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 16, 89
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\UserRatingPage\UserRatingPage.tsx", "TypeScript JSX", 0, 0, 134, 0, 0, 0, 0, 0, 0, 0, 15, 149
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\VideoLecturePage\VideoLecturePage.module.scss", "SCSS", 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 13, 73
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\VideoLecturePage\VideoLecturePage.tsx", "TypeScript JSX", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 17, 85
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\VideoLecturesPage\VideoLecturesPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 160, 0, 0, 0, 0, 31, 191
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\VideoLecturesPage\VideoLecturesPage.tsx", "TypeScript JSX", 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 22, 140
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\services\articles.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 36
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\services\auth.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 47
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\services\currentUser.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\services\editUser.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\services\equipments.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\services\feedbackForm.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\services\index.ts", "TypeScript", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 121
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\services\mainVideo.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\services\podcasts.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\services\progressStatistics.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\services\questTasks.ts", "TypeScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 50
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\services\quests.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\services\registration.ts", "TypeScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 47
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\services\teamMembers.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\services\terms.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
